_id,post_title,post_view,comment_num,post_url,post_date,post_time,post_author
1,为什么宁德时代的应收账款周转率很低？,32,0,"https://guba.eastmoney.com/news,300750,1546270806.html",2025-05-05,16:03,潇洒不羁的冷眼
3,资讯“优质错杀股”出炉 涉及自主可控+高股息率 超七成2025年业绩有望高速增长,5.0万,103,"https://guba.eastmoney.com/news,002851,1546244186.html",2025-05-05,07:54,麦格米特资讯
4,资讯超4000家盈利、700家业绩翻倍，上市公司一季度“开门红”，科技、消费及民营企业表现亮眼,7048,16,"https://guba.eastmoney.com/news,688256,1546236431.html",2025-05-04,21:27,寒武纪-U资讯
5,问题最少，净资产正0.89元提高营收就摘帽了，因营收2.8亿被ST！！！！,875,1,"https://guba.eastmoney.com/news,002496,1546229979.html",2025-05-04,17:42,牡丹花开迎蛇年
6,当今社会有很多问题，不仅仅是股市。包括很多行业，做实业不注重商品的品质，而一心想,338,0,"https://guba.eastmoney.com/news,300750,1546223128.html",2025-05-04,13:57,小司机2
9,五一期间人氏币升值，利好旅游消费，房地产，王府井＜原北京首旅＞股价最高80元现价,364,1,"https://guba.eastmoney.com/news,300750,1546215745.html",2025-05-04,10:46,稽山土
10,全网一片唱衰之声，宁德时代港股上市的的确确的坑害了持股股民的根本利益，建议大家集,382,0,"https://guba.eastmoney.com/news,300750,1546211696.html",2025-05-04,09:09,牛市行情888
14,中国中免港股上市当天大跌10%。然后陆续下跌50%。宁德时代也是一样套路，然后在,434,0,"https://guba.eastmoney.com/news,300750,1546200166.html",2025-05-03,20:55,只买强势涨停的股
15,有谁知道宁德时代H股什么时候上市？,593,2,"https://guba.eastmoney.com/news,300750,1546198954.html",2025-05-03,20:26,股友33k78x8736
16,人民币升值对宁德时代是大利空,431,1,"https://guba.eastmoney.com/news,300750,1546197231.html",2025-05-03,19:35,基民bxilLE
17,-宁王要有自己的应用才好，否则仰人鼻息。,407,3,"https://guba.eastmoney.com/news,300750,1546197169.html",2025-05-03,19:32,潇洒不羁的冷眼
18,目前半仓成本248，五月份能回本吗,438,2,"https://guba.eastmoney.com/news,300750,1546191245.html",2025-05-03,16:25,小朋友穿新衣
19,#股市怎么看#,50,0,"https://guba.eastmoney.com/news,300750,1546190824.html",2025-05-03,16:15,股友oYNHfj
22,要扎扎实实的学好隔夜挂单，才能做好交易。,381,1,"https://guba.eastmoney.com/news,300750,1546180236.html",2025-05-03,10:50,潇洒不羁的范三仟
24,答：宁德时代与华为分别在能源与算力领域建立了“技术壁垒+生态统治+政策护城河”的,643,4,"https://guba.eastmoney.com/news,300750,1546174046.html",2025-05-03,07:57,东财网友1556513264824968
25,坊间说，中国有二大世界级龙头科技企业，一个是做“心脏”的，一个是做大脑的，分别别,424,0,"https://guba.eastmoney.com/news,300750,1546173087.html",2025-05-03,07:04,东财网友1556513264824968
26,未来终极能源核电取代所有能源，宁王大势已去,464,2,"https://guba.eastmoney.com/news,300750,1546171629.html",2025-05-03,05:22,山外山777
28,连着绿四天了,373,0,"https://guba.eastmoney.com/news,300750,1546158748.html",2025-05-02,21:26,惬意的南宫念茜
30,资讯营收超20万亿元！深市成绩单来了,7826,6,"https://guba.eastmoney.com/news,300750,1546149940.html",2025-05-02,18:41,宁德时代资讯
31,资讯创业板2024业绩盘点：超7成盈利 盈利能力、造血能力持续双增,2989,8,"https://guba.eastmoney.com/news,300750,1546145041.html",2025-05-02,17:11,宁德时代资讯
32,资讯A股深市“增长密码”：36家“压舱石”去年拿下4858亿净利润 三大动能一路狂飙,9075,9,"https://guba.eastmoney.com/news,300750,1546145025.html",2025-05-02,17:11,宁德时代资讯
33,节后大阴伺候。,368,1,"https://guba.eastmoney.com/news,300750,1546143482.html",2025-05-02,16:47,股友m9BwjW
34,$宁德时代(SZ300750)$,280,0,"https://guba.eastmoney.com/news,300750,1546133990.html",2025-05-02,14:29,三瓜两枣平原夫
35,这些技术上没有问题，但是量太小了，没有什么很大利润增长空间，现在是稳固新能源电池,334,0,"https://guba.eastmoney.com/news,gssz,1546130476.html",2025-05-02,13:24,平淡才是真225
36,$宁德时代(SZ300750)$$比亚迪(SZ002594)$,411,1,"https://guba.eastmoney.com/news,300750,1546128900.html",2025-05-02,12:43,只买强势涨停的股
37,资讯美国对等关税政策冲击锂电行业 广州国资控股孚能科技｜锂电月度观察,2429,1,"https://guba.eastmoney.com/news,300750,1546128192.html",2025-05-02,12:24,宁德时代资讯
