_id,post_title,post_view,comment_num,post_url,post_date,post_time,post_author
2,还是当个观众轻松，发发感受就行,282,0,"https://guba.eastmoney.com/news,zssh000300,1541592945.html",2025-04-19,23:47,七会树
4,从形态走势上，马上就要自由落体了,336,3,"https://guba.eastmoney.com/news,zssh000300,1541488187.html",2025-04-18,22:23,haowen996
5,灵感的产生,215,0,"https://guba.eastmoney.com/news,zssh000300,1541468076.html",2025-04-18,20:41,七会树
10,搞毛线啊，每次都这么玩，看来以后不能在上午11点和下午两点以后放空单,185,0,"https://guba.eastmoney.com/news,zssh000300,1541419682.html",2025-04-18,16:35,玩PVC玩的
11,还是可惜了！,256,0,"https://guba.eastmoney.com/news,zssh000300,1541413258.html",2025-04-18,16:08,古中先nsq
12,这还了得，居然有人砸尾盘？砸出一根瀑布线，好好去查查到底谁砸的？,197,0,"https://guba.eastmoney.com/news,zssh000300,1541405319.html",2025-04-18,15:38,坚持忽略波动2050
13,冒烟了，辛苦大兄弟了,188,0,"https://guba.eastmoney.com/news,zssh000300,1541382494.html",2025-04-18,14:56,fiesta1498
14,开工开工,156,0,"https://guba.eastmoney.com/news,zssh000300,1541371378.html",2025-04-18,14:47,股友67vh337809
15,国家队想套利的行为把我信心打散了,212,1,"https://guba.eastmoney.com/news,zssh000300,1541359335.html",2025-04-18,14:35,金蛇狂舞2年
16,国家队老想套利的行为把我信心打散了,164,0,"https://guba.eastmoney.com/news,zssh000300,1541358673.html",2025-04-18,14:34,金蛇狂舞2年
17,两点半以后跳水，实在看不下去了真难看。,159,0,"https://guba.eastmoney.com/news,zssh000300,1541353977.html",2025-04-18,14:29,股海巡鹰
20,什么，不死不活，天天硬拉一波。恶心啊,171,0,"https://guba.eastmoney.com/news,zssh000300,1541323101.html",2025-04-18,13:54,L流年似水如梦7109
21,硬砸到现在为空单站台，真是缺德到家,160,0,"https://guba.eastmoney.com/news,zssh000300,1541321631.html",2025-04-18,13:53,日曦辉
22,大盘都开始织布了,148,0,"https://guba.eastmoney.com/news,zssh000300,1541317384.html",2025-04-18,13:48,我是谠猿让我先跑
23,“反向代购”兴起最近，海内外社交媒体被一条新闻刷屏了——美国人纷纷飞中国代购中国,190,1,"https://guba.eastmoney.com/news,zssh000300,1541317104.html",2025-04-18,13:47,投资需要哲学思想
25,今年来内资主力近四个月净流出，3.8万亿！！！,150,0,"https://guba.eastmoney.com/news,zssh000300,1541263405.html",2025-04-18,12:09,话糙理不糙
27,印度孟买Sensex五日狂飙6%，筑底完成？,3.7万,50,"https://guba.eastmoney.com/news,sh520580,1541253229.html",2025-04-18,11:36,养基战法
29,妖股将在华贸了,122,2,"https://guba.eastmoney.com/news,zssh000300,1541210154.html",2025-04-18,10:51,隐约仙人现
30,又给期货带下去割了正股。,113,2,"https://guba.eastmoney.com/news,zssh000300,1541182399.html",2025-04-18,10:27,龙飞凤舞虎虎生威
31,加油真的要红起来,90,2,"https://guba.eastmoney.com/news,zssh000300,1541136330.html",2025-04-18,09:56,活着是第一要素
33,超短也要做大票啊，小票低开是大概率！！,44,2,"https://guba.eastmoney.com/news,zssh000300,1541069188.html",2025-04-18,09:20,时间板块个股
34,生意太难做了我的公司卖了,106,1,"https://guba.eastmoney.com/news,zssh000300,1541059737.html",2025-04-18,08:52,不要追高买
35,从十五分钟和三十分钟技术指标看，今日容易出现高速下滑迹象，除非像昨天一样硬护等人,96,1,"https://guba.eastmoney.com/news,zssh000300,1541056337.html",2025-04-18,08:31,股友571A36735t
36,逆水行舟的信念和勇气（当其他人都在抛售时买进）；随着时间的推移保持信心（在低点买,79,0,"https://guba.eastmoney.com/news,zssh000300,1541056034.html",2025-04-18,08:29,割是个传说
38,两个意义,185,0,"https://guba.eastmoney.com/news,zssh000300,1541033715.html",2025-04-18,00:00,七会树
46,象元月17号的样子了，那就是振荡洗两周，就面临五一节了，看节前2天与节后！,91,0,"https://guba.eastmoney.com/news,zssh000300,1540942046.html",2025-04-17,16:43,破K5线串叉叉忌玩
